gloss,uses,forms,sayable
the act of choosing or selecting.,124,3,1
to trap,124,3,1
tube,124,3,1
"cupboard, locker",124,2,0
"essence, substance",124,4,1
"ely (a city in cambridgeshire, england)",124,3,1
drag queen,124,3,1
"a diminutive of the male given name arnold, also diminutive of other germanic compound names beginning with arn- "eagle"",124,4,1
"male chicken, rooster, cockerel, cock",124,3,1
a kind of precious stone,124,5,1
wedding (marriage ceremony),124,5,1
rigging,124,5,0
"rubber, gum (as a material)",124,6,1
rudder,124,6,0
eloquent,124,7,1
"the marker of inessive case; in, inside",124,7,1
cold (of temperature),124,6,1
mach (ratio of speed to the speed of sound),124,6,1
"parrot, racquet-tail, parakeet (used in common names of numerous parrot species)",124,5,1
"to plough, till; to cultivate land, farm; to acquire by tillage",124,7,1
"pretty, attractive",124,7,1
face; cheek,124,6,1
suffix indicating the second-person plural present indicative of -ir verbs.,124,9,1
"font, fountain, spring",124,6,1
swede,124,7,0
"pelt, fur",124,6,1
nude,124,9,0
slate,124,8,1
bulky,124,7,0
a donation of food traditionally given to the poor to mark an occasion,123,1,1
"belt, band",123,1,1
engineer (person qualified or professionally engaged in engineering),123,1,1
female equivalent of evangélico,123,1,1
"kiln, furnace",123,1,1
"a surname, lasalle, transferred from the common noun, equivalent to english hall",123,1,1
gamekeeper,123,1,0
placid,123,1,0
a wooden gate in a fence of the same material,123,1,1
second-person singular tuteo imperative of salir combined with les,123,1,1
"sedan, saloon (car type) [from late 1910s]",123,1,1
"a former municipality in finland, merged with nokia in 1973.",123,1,1
"torr (non-si unit of pressure, equal to 1/760 of standard atmospheric pressure)",123,1,1
ice road; a seasonal winter road over frozen terrain and/or frozen bodies of water,123,1,1
"a mangrove, any of various plants of the genus rhizophora",123,2,1
"cinders, ashes",123,2,1
h-prothesized form of eo,123,2,1
purcell,123,2,0
point (unit of scoring in a game or competition),123,3,1
"a female given name, variant of isabel",123,2,1
shortage [with elative 'of'],123,3,1
any plant of the abrus taxonomic genus,123,3,1
a river in el salvador,123,2,1
hoe (agricultural tool consisting of a long handle with a flat blade fixed perpendicular to it at the end),123,2,1
"swelling, bump",123,3,1
trowel,123,4,0
downpayment,123,2,0
faggot,123,5,0
coattail,123,4,0
to depend [with på or av 'on'],123,3,1
finn (inhabitant of finland) [from 16th c.],123,2,1
pure (unspoilt),123,5,1
"to wander, roam",123,4,1
gavril's,123,5,0
expensive,123,6,1
"bramble bush, blackberry bush",123,3,1
carat (jewelry unit of mass),123,4,1
able; with the ability to,123,3,1
"referring to eggs: underdone, undercooked; soft-boiled",123,4,1
"cathedral (church serving as seat of a bishop, by extension, any large church)",123,5,1
"hunting, hunt (act of finding and killing a wild animal; art of hunting)",123,4,1
"chick (young woman, usually sexually attractive)",123,4,1
"head, chief, main, principal",123,4,1
"bald, hairless",123,4,0
seal (marine mammal),123,5,1
"groan, moan",123,6,0
day (a 24-hour period),123,7,1
hammer (tool with a heavy head and a handle used for pounding),123,6,1
third-person singular past historic of miner,123,7,1
"sad, sorrowful",123,5,1
third-person singular past historic of airer,123,7,1
"a sphere; a ball, globe or bulb",123,6,1
cheese (dairy product made from curdled or cultured milk),123,6,1
tomb,123,7,1
ford (shallow river crossing),123,6,1
"a type of hat made of fur or felt, worn by janissaries",123,8,1
mop,123,6,0
both,123,8,1
"-ty (suffix used to form nouns, often denoting a quality or a property)",123,10,1
apocopic form of una,123,8,1
"corpse, carrion",123,9,1
"knife, hunting knife",123,9,1
angola (a country in southern africa),122,1,1
"reddish, vermilion",122,1,0
pit; hole (hollow spot in a surface),122,1,1
"shallow, not deep",122,1,1
chihuahua / chihuahua (the dog breed or an individual of this breed),122,1,1
cobra (snake),122,1,1
quadri-; four,122,1,1
two hundred (200),122,1,1
"a female given name; diminutive forms gerti, trude, trudi, trudl",122,1,1
a surname of originally (and still chiefly) southern german and austrian usage,122,1,1
"overpass, flyover",122,1,0
"downpour, shower",122,1,1
palisade (wall of wooden stakes),122,1,1
"pisa (a city and province of tuscany, italy)",122,1,1
primary school; primary schooling,122,1,1
"a sewer, drain to remove filth",122,1,1
water treatment (any process that improves the quality of water),122,1,1
cowshed,122,1,0
"to idle, to laze",122,1,1
a trip (a journey),122,1,1
a combustible typically wooden rod for making fire through friction (as in drilling),122,1,1
"glow, heat",122,1,1
"dirty, foul, horry; lacking cleanliness.",122,2,1
to warm,122,2,1
firstborn child,122,2,1
an oven; an enclosed chamber for baking or drying.,122,2,1
lemnos,122,2,0
"to bewilder, dismay, perplex",122,2,1
jew (by religion),122,2,1
"to go out, to be extinguished",122,2,1
"a village and former municipality of noord-beveland, zeeland, netherlands",122,3,1
saw tool,122,2,1
animate masculine plural past active participle of dout,122,3,1
garland; festoon; wreath of flowers,122,2,1
sad,122,3,1
"marriage payment, dowry",122,2,1
stamina,122,3,1
cuckold,122,3,0
diamond (gemstone),122,2,1
"an alley, a narrow street",122,3,1
agent noun of fischen,122,4,1
roman consul,122,2,0
verbal noun of سَخِرَ (saḵira) (form i),122,3,1
trans-,122,3,0
birch tree,122,4,1
"native, home",122,4,1
"female bear, she-bear",122,3,1
a female given name from hebrew,122,4,1
cockroach,122,4,1
iora,122,4,0
small sailing yacht with at most two sails,122,4,1
male fox (vulpes vulpes),122,4,1
dragon (legendary creature),122,4,1
agri-,122,5,0
servicio de impuestos internos de los estados unidos; irs.,122,4,0
salami,122,4,0
verbal noun of شَبَرَ (šabara) (form i),122,4,1
"crazy, mad",122,6,1
"helm, rudder",122,5,1
"horsehair (hair of a horse, from its mane or tail)",122,6,1
"affixed, usually to demonstratives, forming deixes",122,8,1
"a knot (loop, of for example a piece of string)",122,7,1
short masculine singular of ли́повый (lípovyj),122,4,1
-ic,122,4,0
"synonym for trichloorethyleen, a chemical solvent",122,7,1
atlantic bonito (sarda sarda),122,4,0
strong feminine nominative singular of hittr,122,5,1
-year-old (creating nouns),122,5,1
yew (taxus spp.),122,5,0
verbal noun of ثَمَّ (ṯamma) (form i),122,6,1
short for catéchisme,122,6,1
"insipid, bland, slightly nauseating",122,6,1
third-person singular optative of demek,122,6,1
raw (not subject to cooking or heating),122,6,1
"a village in buren, gelderland, netherlands",122,5,1
sanatorium,122,7,0
ruby,122,7,1
"slack, loose, lax",122,8,1
to hope,122,7,1
"system of beliefs dealing with soul, deity or life after death.",122,10,1
"hill, mountain",122,9,1
jellyfish,122,9,1
rais,122,9,0
"alhambra (a palace in granada, spain)",121,1,1
strong/mixed nominative/accusative neuter singular of alt,121,1,1
belgrade (the capital city of serbia; the former capital of yugoslavia),121,1,1
"börek, burek, boereg",121,1,0
verbal noun of بَطَلَ (baṭala) (form i),121,1,1
verbal noun of تَابَ (tāba) (form i),121,1,1
"a village in zlatna, alba county, romania",121,1,1
bean (seed),121,1,1
throat (posterior region of the oral cavity),121,1,1
faith healing,121,1,1
a state of mexico.,121,1,1
"evil, bad, wrong",121,1,1
"bureau, office, agency, board (operative unit in the public sector on central (state), regional or local (municipal) level)",121,1,1
lion (mammal),121,1,1
pavilion; gazebo,121,1,1
"hand, pointer, indicator",121,1,1
dinar,121,2,0
"a female given name, a less common anglicism of carine",121,2,1
"county, shire",121,2,0
companion,121,2,1
blessing,121,2,1
first-person singular past historic of saler,121,2,1
hot spring,121,2,1
a chassé,121,2,0
pontoon,121,2,0
lugo (a city in spain),121,3,1
"inconvenience, disadvantage",121,4,0
"goy, gentile",121,4,0
used to form the future indicative of most latin verbs from the 1st and 2nd conjugations,121,5,1
a ritten; a young rat,121,3,1
along of,121,4,1
"type of river island, with ground relatively high above the water level and usually covered with forest",121,3,1
earring,121,5,0
combining form of loinen: parasitic,121,3,1
"a river in dâmbovița county, romania, tributary to the ialomicioara",121,2,1
third-person singular past historic of camper,121,3,1
gold (metal),121,4,1
to level up,121,3,1
hybrid camel,121,4,1
"a village and municipality of the province of piacenza, emilia-romagna, italy",121,5,1
hazel trees,121,5,1
rye (secale cereale),121,4,1
blue-green (particularly used in reference to eyes),121,4,1
elijah (israelite prophet in the abrahamic religions),121,6,1
sea clubrush (bolboschoenus maritimus),121,7,1
singulative of نِير (nīr),121,6,1
dripping,121,5,1
"point (a position, place, or spot)",121,8,1
"whirl, twirl, bustle",121,7,1
end (the last part of something),121,8,1
faq; initialism of usein kysyttyjä kysymyksiä ("frequently asked questions"),121,4,1
"canvas shoe, trainer, sneaker",121,6,1
raspberry,121,8,1
soft sedge (cyperus dubius syn. kyllinga triceps),121,7,1
"need, requirement",121,8,1
swidden; woodland cleared and burned for cultivation according to slash-and-burn agriculture,121,8,1
forms causative adverbs.,121,7,1
"to choke, to strangle",121,8,1
a lance (long spear),121,10,1
slate (material),121,8,1
crupper (thong to keep the saddle from sliding forth),121,9,1
bio-,120,1,0
pike (any carnivorous freshwater fish of the genus esox),120,1,1
"annoying, importunate, pushy",120,1,1
virgin land,120,1,1
"coarse, vulgar",120,1,1
pampas grass,120,1,1
"secondary school, high school",120,1,1
mistrust,120,1,0
f-sharp,120,1,1
"a male given name, briefly popular in the 1980s",120,1,1
land encompassing all of the germanic speaking world,120,1,1
tier (of hall etc.),120,1,1
"a male given name, variant of lorenz, equivalent to english laurence",120,1,1
"a surname originating as an occupation, equivalent to english bishop",120,1,1
plateau (level expansion),120,1,1
second-person singular past historic of siler,120,1,1
"a two-storey house, especially one with a balcony",120,1,1
varennes: a placename,120,1,0
yeshiva,120,1,0
an idiot,120,2,0
"bank, banking (of or relating to banking)",120,2,1
fleshy part of the body without fat or bone; brawn; muscle,120,2,1
prior (high-ranking member of a monastery),120,2,1
tutu,120,2,0
calico,120,2,0
monumental,120,2,0
"to requite, repay",120,3,1
"verbal noun of بَانَ (bāna, "to be separated") (form i) – separation, division",120,3,1
"tisza (a right tributary of the danube in hungary, romania, serbia, slovakia and ukraine)",120,3,1
holder,120,3,1
"filth, dirt, feces",120,3,1
shotgun,120,2,0
"an antisocial, brutish or inconsiderate person",120,3,1
"tile, flagstone, slab, pavement",120,3,1
goldsmith,120,3,0
first/second-person singular past historic of avoir,120,3,1
hail,120,4,1
"a dryer, a kiln to dry corn; a traditional finnish/scandinavian wooden building used for indoor drying of corn",120,4,1
"maid, especially in reference to japanese fiction or in reference to the french maid outfit",120,3,1
-kini,120,4,0
forms the first-person plural of verbs.,120,3,1
"firm, hard, forceful, strong (of actions, also of emotions)",120,6,1
a kind of elongate basket for fruits or flowers woven from myrtle and willow twigs or reeds etc. for amusement by women,120,5,1
rest,120,5,1
breath (act or process of breathing),120,2,1
"to turn (something) into a mash or mush through pressure; to mash, to mush, to puree, to squash, etc.",120,3,1
"being, existence",120,4,1
"to variegate, to embroider, to embellish with striped colours, to tinsel",120,5,1
nation,120,5,1
"way, road, path, route (for travelling)",120,5,1
carp,120,4,1
"field, pitch, site, area",120,3,1
"owl, eagle owl (any species of owl from the strigidae family)",120,5,1
breakfast,120,5,1
"a machine, device, or instrument.",120,4,1
to hammer (hit with a hammer),120,4,1
suffix added to a father's name to form a masculine patronymic: son of,120,5,1
"sunga, swim briefs, speedos (narrow men's swimsuit)",120,6,1
number (entity representing quantity),120,4,1
cream (milkfat),120,4,1
"a female given name from russian а́ня (ánja, "annie", pet form), equivalent to english anya",120,7,1
feminine singular past indicative perfective of дать (datʹ),120,6,1
first/third-person singular preterite indicative of ābītan,120,4,1
toucan,120,5,0
yassa,120,7,0
ram,120,8,1
names tools and devices,120,9,1
"a municipality of north ostrobothnia, finland",120,6,1
curry (spice blend and dish),120,5,1
"hedge, fence",120,7,1
street; road (paved path),120,6,1
"a thump, a thud, a sound of something falling to the ground",120,6,1
"clay; contraction of lera, in the expression ler och långhalm",120,9,1
"reindeer stag (adult male reindeer, sometimes defined as one that is at least three years old)",120,8,1
third-person singular past historic of zigare,120,9,1
"bright, brilliant, lustrous, shiny, glowing, sparkly, glittering, glossy",119,1,1
"pontederia crassipes (a tropical aquatic plant from south america, in the family pontederiaceae, that appears to form floating islands)",119,1,1
"ceres, roman goddess of agriculture; equivalent to the greek goddess demeter",119,1,1
communication,119,1,1
continuation (act of continuing),119,1,1
fife,119,1,0
fund,119,1,1
a heap of soil or stones used as a marker to delineate a border,119,1,1
"grace (elegant movement, poise or balance)",119,1,1
apocopic form of mandare,119,1,1
camomile,119,1,0
"to vibrate, quiver",119,1,1
"a habitational surname, nyland",119,1,0
vine arbour,119,1,1
poker (card game),119,1,1
brackish (slightly salty),119,1,1
"sorrento (a town and comune of the province of naples, campania, italy)",119,1,1
