huxan,,mutual,,hùxiāng,互相,chinese,
hulip,,gorgeous,,huali,华丽,chinese,
hulek,,feisty,,huó yuè,活跃,chinese,
hulun,,ignore,,hūluè,忽略,chinese,
hurin,,hurry,,,,english,
simaq,,seem,,,,english,
matx,,symmetry,,symmetria,συμμετρία,greek,
simun,,indicate,,simun,סִימּוּן,hebrew,
sinet,,insinuate,,,,,
sinor,,senior,,,,english,
sidik,,astringent,,,,,
krak,,crack,,,,english,
sidas,,insidious,,,,english,
sibuk,,complication,,sibúkh,סִבּוּךְ,hebrew,
sipan,,sip,,,,,
sipar,,sweep,,,,,
sipun,,deck,,sipun,סִיפּוּן,hebrew,
sipur,,tale,,sipur,סִיפּוּר,hebrew,
sitir,,slack,,,शिथिर,sanskrit,
sitar,,city,,,,english,
sikad,,cicada,,,,english,
sik,,seek,,,,,
sikuv,,refusal,,seQuv,סֵרוּב,hebrew,
sisim,,fraction,,sehemu,,swahili,
sisen,,easy-going,,suí hé,随和,chinese,
sisak,,sex,,,,,
sisuk,,conflict,,sichsuch,סִיכְסוּךְ,hebrew,
sivam,,service,,,सेवा,sanskrit,
sivar,,hypothesis,,svara,סְבָרָה,hebrew,
sizal,,sizzle,,,,english,
sizol,,fringe,,sìzhōu,四周,chinese,
sixet,,satiate,,,,english,
siCig,,seethe,,,,,
siCan,,page,,,síða,icelandic,
siliq,,ceiling,,,,,
silit,,silhouette,,,,,
silek,,torn,,sī liè,撕裂,chinese,
sileC,,seal,,,,,
silan,,seal (connect),,,,english,
silab,,garment,,ṯiyāb,ثِيَاب ,arabic,
silak,,select,,,,english,
tirn,,tour,,,,english,
silut,,nightmare,,siyut,סִיּוּט,hebrew,
siren,,axle,,seren,סֶרֶן,hebrew,
siral,,cereal,,,,english,
siroq,,velvet,,sī róng,丝绒,chinese,
siroz,,sear,,,,,
sirup,,syrup,,,,english,
sirut,,rent,,schirut,שְׂכִירוּת,hebrew,
siruv,,refuse,,seruv,סֵירוּב,hebrew,
seman,,partial (semi-),,,,,
senir,,sane,,,,english,
senat,,senate,,,,english,
sedar,,cedar,,,,english,
seban,,say,,,,english,
setiq,,setting,,,,,
setas,,cetacea,,,,,
setar,,satire,,,,english,
sekut,,execute,,,,english,
sesis,,sass,,,,,
seval,,civil,,,,,
sevor,,savor,,,,english,
samil,,denote,,lesam(e)l,לְסַמֵּל,hebrew,
samor,,summer,,,,,
sanov,,swallow (bird),,,,english,
saget,,segregate,,,,english,
sadir,,tidy,,lesad(e)R,לְסַדֵּר,hebrew,
sadan,,perform,,sādhanā,साधना,sanskrit,
sadal,,saddle,,,,english,
sabit,,swab,,,,,
sabir,,patient,,ṣābir,صَابِر,arabic,
sabam,,polite,,,सभ्य,sanskrit,
sabat,,mackerel,,saba,さば,japanese,
sabon,,soap,,sabon,סַבּוֹן,hebrew,
sapak,,supplier,,sapak,סַפָּק,hebrew,
sapar,,barber,,sapar,סַפָּר,hebrew,
sapud,,meal,,se'uda,סְעוּדָה,hebrew,
satam,,sincere,,,सत्य,sanskrit,
satol,,subtle,,,,english,
sakin,,blade,,sakin,סַכִּין,hebrew,
sakib,,vociferate,,sakhiba,صَخِبَ,arabic,
sakik,,psychic,,,,english,
saket,,socket,,,,english,
skan,,doubt,,šakka,شَكَّ,arabic,
sakon,,sack,,,,english,
sakul,,succulent,,,,english,
sasib,,associate,,ṣāḥib,صَاحِب,arabic,
sasan,,tolerate,,sahana,सहन,sanskrit,
sasat,,suppress,,sahati,सहति,sanskrit,
sasaC,,hone,,šaḥaḏa,شَحَذَ,arabic,
sart,,desert,,,صحراء,arabic,
safar,,sapphire,,,,english,
savan,,savanna,,,,english,
sazan,,size,,,,,
salig,,swell,,,,,
salir,,patrol,,lesay(e)R,לְסַייֵּר,hebrew,
salab,,grasshopper,,śalabha,शलभ,sanskrit,
salak,,righteous,,ṣalaḥa,صَلَحَ,arabic,
saloq,,swallow,,,,,
salos,,cellulose,,,,english,
sariq,,sorry,,,,english,
sarit,,tape,,seret,סֶרֶט,hebrew,
saras,,potent,,,सरस,sanskrit,
sarod,,survive,,lisR(o)d,לִשְׂרוֹד,hebrew,
sodak,,soda,,,,,
sopek,,claim,,suǒ péi,索赔,chinese,
sokur,,soak,,,,english,
sofir,,author,,sofer,סוֹפֵר,hebrew,
xark,,society,,,,english,
solan,,swollen,,swollen,,english,
soran,,sour,,sōraṇa,सोरण,sanskrit,
kund,,kind (good),,,,english,
sumon,,summon,,,,english,
sunan,,blank,,śūnya,शून्य,sanskrit,
sugam,,convenient,,sugama,सुगम,sanskrit,
sudan,,peanut,,sūdāniyy,سُودَانِيّ,arabic,
sudon,,somewhat (pseudo-),,,,,
sutas,,soot,,,,,
susad,,suicide,,,,,
susur,,deface,,ṣuḥuf,صُحُف ,arabic,
suzal,,portray,,sùzào,塑造,chinese,
suzuk,,bass (fish),,suzuki,スズキ,japanese,
suxav,,dear,,,सुशेव,sanskrit,
suCiq,,sooth,,,,,
suCal,,weld,,,suða,icelandic,
suliq,,sew,,,,,
fidiq,,feed,,,,,
fidas,,fetus,,,,english,
fidal,,fiddle,,,,english,
fitol,,feat,,,,,
fisiz,,feces,,,,english,
fizab,,feasible,,,,english,
fizaz,,fizz,,,,,
fizal,,fizzle,,,,,
fixet,,officiate,,,,,
filet,,fill,,,,,
filan,,felidae,,,,,
firar,,escape,,firār,فِرَار,arabic,
fenak,,feign,,,,english,
feqat,,fang,,,,,
fek,,fake,,,,english,
fevor,,favor,,,,english,
fecat,,faith,,,,english,
feloq,,tax,,fèiyòng,费用,chinese,
felur,,failure,,,,english,
ferig,,ferry,,,,,
fanin,,translate,,fanyi,翻译,chinese,
fanit,,fan (machine),,,,,
fanik,,pamper,,lefan(e)k,לְפַנֵּק,hebrew,
fanis,,fun,,,,,
fanak,,bustle,,fán huá,繁华,chinese,
fanov,,fawn (over),,,,,
faqen,,access,,fǎng wèn,访问,chinese,
faq,,scheme,,fāngàn,方案,chinese,
fatir,,dismiss,,lefat(e)R,לְפַטֵּר,hebrew,
fataq,,assist,,fatḥ,فَتَحَ,arabic,
fatar,,mitigate,,fattara,فَتَّر,arabic,
fatot,,tempt,,lefat(o)t,לְפַתּוֹת,hebrew,
fakam,,surge,,lefa'(e)m,לְפַעֵם,hebrew,
fakan,,penalty,,fá kuǎn,罚款,chinese,
faset,,faucet,,,,,
fasan,,fasten,,,,english,
fasad,,corrupt,,fasād,فَسَاد,arabic,
faziz,,fuzz,,,,,
faxir,,compromise,,lefax(e)R,לְפַשֵּׁר,hebrew,
faxeq,,happen,,fāshēng,发生,chinese,
faxon,,fashion (style),,,,,
faCom,,fathom,,,,,
bam,,father,,,,,
falif,,folly,,,,english,
falek,,bland,,fá wèi,乏味,chinese,
falun,,just (law),,fǎyuàn,法院,chinese,
faret,,elaborate,,lefaR(e)t,לְפָרֵט,hebrew,
farad,,farad (measurement),,,,english,
folet,,exfoliate,,,,,
forid,,foe,,,,english,
forer,,crumble,,lefoR(e)R,לְפוֹרֵר,hebrew,
foran,,promptly,,faoran,فَوْرا,arabic,
fusil,,compound,,fuhe,复合,chinese,
fusem,,consist,,fúhé,符合,chinese,
fusar,,fuss,,,,,
fuzak,,fuse,,,,english,
fulip,,buoyant,,fú lì,浮力,chinese,
fulep,,soothe,,fǔ wèi,抚慰,chinese,
fulat,,flashy,,fú huá,浮华,chinese,
furet,,infuriate,,,,,
furoq,,furrow,,,,,
furup,,endow,,fuyu,赋予,chinese,
vimal,,transparent,,,,,
videx,,foreign,,videśa,विदेश,sanskrit,
vipak,,fact,,,,,
vitog,,veto,,,,,
vikat,,dread,,,विकट,sanskrit,
viver,,viverridae,,,,,
vijon,,vision,,,,english,
viCak,,supplement,,,viðauki,icelandic,
vin,,environment,,,,english,
venip,,vane,,,,,
venas,,vein,,,,,
venuk,,venue,,,,english,
vepaq,,interface (computing),,,,,
vepor,,vapor,,,,english,
vetig,,vet,,,,english,
vekex,,vacation,,,,,
veliq,,veil,,,,,
vanir,,veneer,,,,,
vanal,,vinyl,,,,,
vadad,,insulate,,levad(e)d,לְבַדֵּד,hebrew,
vapis,,upset,,leva'(e)s,לְבַאֵס,hebrew,
vapir,,explain,,leva'(e)R,לְבָאֵר,hebrew,
vapad,,committee,,va'ad,וַעַד,hebrew,
vapux,,stunning,,,वपुष,sanskrit,
vatir,,concede,,levat(e)R,לְווַתֵּר,hebrew,
vatak,,insure,,levat(e)aH,לְבַטֵּחַ,hebrew,
vatar,,descent,,avatar,अवतार,sanskrit,
vakiq,,vie,,,,,
vaket,,evacuate,,,,,
vaqk,,cow,,,,latin,
vasid,,conference,,ve'ida,וְעִידָה,hebrew,
vam,,will (force),,,वश,sanskrit,
vasan,,breadth,,vyāsa,व्यास,sanskrit,
vasad,,vice,,,,,
vasat,,carry,,váhati,वहति,sanskrit,
vasox,,stir,,livH(o)x,לִבְחוֹשׁ,hebrew,
vasum,,wealth,,vásu,वसु,sanskrit,
vazir,,disperse,,levaz(e)R,לְבַזֵּר,hebrew,
vazor,,visor,,,,english,
valim,,stage (action),,levay(e)m,לְבַייֵּם,hebrew,
valid,,valid,,,,english,
valit,,domesticate,,levay(e)t,לְבַייֵּת,hebrew,
valeb,,available,,,,english,
valet,,evaluate,,,,english,
valax,,embarrass,,levay(e)x,לְבַייֵּשׁ,hebrew,
valol,,vial,,,,,
valum,,volume (math),,,,english,
varin,,vary,,,,english,
varit,,ward (off),,vārita,वारित,sanskrit,
varik,,greet,,levaR(e)H,לְבָרֵךְ,hebrew,
varam,,circumference,,vára,वर,sanskrit,
varat,,variety,,,,english,
vogun,,vogue,,,,,
votab,,bad,,,,,
vokad,,avocado,,,,english,
vosas,,versus,,,,,
volaC,,misery,,,volæði,icelandic,
vorex,,voracious,,,,english,
vorak,,bee,,dvora,דְּבוֹרָה,hebrew,
vuxim,,genitals,,m'vushím,מְבוּשִׁים,hebrew,
vulol,,mingle,,livl(o)l,לִבְלוֹל,hebrew,
zinuk,,dash (spurt),,zinuk,זִינּוּק,hebrew,
zidiq,,nominate,,zhǐdìng,指定,chinese,
zidaq,,automatic,,zì dòng,自动,chinese,
ziban,,capital,,ziben,资本,chinese,
zibal,,quota,,zhǐbiāo,指标,chinese,
zital,,stance,,zitai,姿态,chinese,
zikap,,affinity,,zika,זִיקָּה,hebrew,
zikuk,,flare,,zikuk,זִיקּוּק,hebrew,
zisik,,selfish,,zì sī,自私,chinese,
zisol,,final,,zuì hòu,最后,chinese,
zisum,,pollute,,zihum,זִיהוּם,hebrew,
zut,,identity,,zehut,זֶהוּת,hebrew,
zifat,,tar,,zefet,זֶפֶת,hebrew,
zivon,,style,,tzivyon,צִבְיוֹן,hebrew,
zizoq,,ultimate,,zuì zhōng,最终,chinese,
zizut,,haste,,pzizut,פְּזִיזוּת,hebrew,
zixak,,beneath,,zhīxià,之下,chinese,
zixal,,least,,zhìshǎo,至少,chinese,
zilik,,intellect,,zhì lì,智力,chinese,
zilam,,xylem,,,,english,
ziret,,factorial (math),,atzeret,עֲצֶרֶת,hebrew,
ziram,,movement (political/etc.),,zerem,זֶרֶם,hebrew,
ziraz,,catalyze,,zeréz,זֵרֵז,hebrew,
zirok,,consume,,litzR(o)H,לִצְרוֹךְ,hebrew,
zenog,,controversy,,zhengyi,争议,chinese,
zeqim,,dispute,,zhēngyì,争议,chinese,
zekol,,discount,,zhé kòu,折扣,chinese,
zevak,,sacrifice,,zevach,זֶבַח,hebrew,
zamar,,prune (fruit),,zamár,זָמַר,hebrew,
zanim,,divert,,zhuanyi,转移,chinese,
zanan,,delve,,zuanyan,钻研,chinese,
zanaq,,delirious,,zhān wàng,谵妄,chinese,
zanak,,abandon,,zanákh,זָנַח,hebrew,
zapam,,fury,,za'am,זַעַם,hebrew,
zatad,,march (foot),,tza'ada,צַעֲדָה,hebrew,
zakar,,masculine,,zachar,זָכָר,hebrew,
zakut,,privilege,,zchut,זְכוּת,hebrew,
zakuf,,erect,,zakúf,זָקוּף,hebrew,
zasot,,recognise,,lezah(o)t,לְזַהוֹת,hebrew,
zavit,,angle,,zavit,זווית,hebrew,
zalan,,clutter,,zá luàn,杂乱,chinese,
zalot,,grill,,litzl(o)t,לִצְלוֹת,hebrew,
zaran,,tragedy,,tzara,צָרָה,hebrew,
zarat,,sow,,zaraʿa,زَرَعَ,arabic,
zoqal,,major,,zhòngyào,重要,chinese,
zotet,,eavesdrop,,letzot(e)t,לְצוֹתֵת,hebrew,
zofin,,cipher,,tzofen,צוֹפֶן,hebrew,
zoxan,,social,,zhouxuan,周旋,chinese,
zoren,,behave,,zuoren,做人,chinese,
zumiq,,famous,,zhuming,著名,chinese,
zumom,,plot,,lizm(o)m,לִזְמוֹם,hebrew,
zunal,,thwart,,zǔ náo,阻挠,chinese,
zupon,,conceal,,litzp(o)n,לִצְפּוֹן,hebrew,
zuser,,congratulate,,zhuhe,祝贺,chinese,
zuzig,,organize,,zuzhi,组织,chinese,
zuzol,,book,,zhùzuò,著作,chinese,
zulik,,sufficient,,zúyǐ,足以,chinese,
zulaq,,earn,,zhuang,赚,chinese,
jirer,,swear,,jurer,,french,
jedul,,absolute,,jué duì,绝对,chinese,
jetaj,,throw away,,,,,
jeton,,token,,jeton,,french,
jaber,,legging,,jambière,,french,
jaket,,jacket,,jaquette,,french,
javel,,swathe,,javelle,,french,
jazer,,gossip,,jaser,,french,
jalim,,jelly,,gelée,,french,
jalus,,jealous,,jaloux,,french,
jaret,,jar,,jarre,,french,
joval,,jovial,,jovial,,french,
ximz,,happy,,,,,
ximun,,oil,,shemen,שֶׁמֶן,hebrew,
xinip,,sheen,,,,english,
xinaq,,shank/shin (leg),,shin,,english,
xigup,,accident,,shì gù,事故,chinese,
xigur,,launch,,shigur,שִׁיגּוּר,hebrew,
xidep,,compel,,shǐdé,使得,chinese,
xidaq,,appropriate (behavior),,shì dàng,适当,chinese,
xidoq,,perturbation,,shedong,摄 动,chinese,
xidud,,modest,,shidude,适度地,chinese,
madjiq,,video,,,,,
xipur,,improve,,shipur,שִׁיפּוּר,hebrew,
xitan,,urine,,sheten,שֶׁתֶן,hebrew,
xiket,,moment,,shí kè,时刻,chinese,
xiset,,qualify,,shìhé,适合,chinese,
xisok,,erode,,lixH(o)k,לִשְׁחוֹק,hebrew,
kaf,,cough,,,,english,
vret,,settle,,lax(e)vet,לָשֶׁבֶת,hebrew,
xivav,,chip (like computing),,shvav,שְׁבָב,hebrew,
xizik,,literate,,shizi,识字,chinese,
xixam,,student,,,शिष्या,sanskrit,
xixaq,,stylish,,shí shàng,时尚,chinese,
xixuk,,sparse,,xī shū,稀疏,chinese,
xicam,,sheath,,,,english,
xiliq,,series,,xilie,系列,chinese,
xilek,,deem,,shìwéi,视为,chinese,
xilad,,skeleton,,sheled,שֶׁלֶד,hebrew,
xireq,,shear,,shear,,english,
xiron,,armor,,shiryon,שִׁרְיוֹן,hebrew,
xirut,,cohesion (physics),,kshirut,קְשִׁירוּת,hebrew,
xenul,,reputation,,shengyu,声誉,chinese,
xeqap,,career,,shēng yá,生涯,chinese,
xedar,,shed,,,,,
xepol,,shape,,,,english,
xekan,,shake,,,,,
xeviz,,shave,,,,,
xezem,,scholar,,xué zhě,学者,chinese,
xexik,,emulate,,xuéxí,学习,chinese,
xexeq,,academic,,xuéshēng,学生,chinese,
xexal,,school,,xué xiào,学校,chinese,
xelan,,shale,,,,,
xerik,,share,,,,english,
xaman,,shaman,,,,,
xanip,,shine,,,,english,
xanot,,review,,lixn(o)t,לִשְׁנוֹת,hebrew,
madj,,coral,,,,chineseenglish,
xagin,,shag,,,,,
xagat,,shrug,,,,,
xadik,,pair,,lexad(e)H,לְשַׁדֵּךְ,hebrew,
xadar,,transmit,,lexad(e)R,לְשַׁדֵּר,hebrew,
xadon,,shadow,,,,,
xadur,,shudder,,,,english,
xabix,,garble,,lexab(e)x,לְשַׁבֵּשׁ,hebrew,
xabic,,cling,,shabitha,شَبِثَ,arabic,
xabat,,rest,,shabat,שַׁבָּת,hebrew,
rast,,rest (remainder),,,,english,
xapar,,suppose,,lexa'(e)R,לְשַׁעֵר,hebrew,
xatir,,police,,lexat(e)R,לְשַׁטֵּר,hebrew,
xatan,,demon,,šayṭana,شَيْطَنَ ,arabic,
xator,,shutter,,,,english,
xakim,,rehabilitate,,lexak(e)m,לְשַׁקֵּם,hebrew,
xakit,,salmon,,sake,サケ,japanese,
xakel,,quell,,lexak(e)H,לְשַׁכֵּךְ,hebrew,
xakif,,reflect,,lexak(e)f,לְשַׁקֵּף,hebrew,
xasal,,kid,,xiǎohái,小孩,chinese,
xafan,,rabbit,,shafan,שָׁפָן,hebrew,
xaviv,,flash,,shviv,שְׁבִיב,hebrew,
xavir,,fracture,,shever,שֶׁבֶר,hebrew,
xavak,,market (action),,lexav(e)k,לְשַׁווֵּק,hebrew,
xavas,,fame,,,श्रवस्,sanskrit,
xavol,,shovel,,,,,
xaliv,,inspire,,lexalh(e)v,לְשַׁלְהֵב,hebrew,
xalaq,,jot,,shaoliang,少量,chinese,
xalav,,phase,,shalav,שָׁלָב,hebrew,
xalom,,welfare,,shalom,שָׁלוֹם,hebrew,
xarab,,wine,,šarāb,شَرَاب,arabic,
xomiq,,illustrate,,shuōmíng,说明,chinese,
xodan,,resort (action),,shǒuduàn,手段,chinese,
xokul,,harvest,,shouhuo,收获,chinese,
xoval,,spade (shovel),,,,english,
xoxaq,,hurt,,shòushāng,受伤,chinese,
xoxon,,sell,,xiaoshou,销售,chinese,
xuman,,fat,,shuman,שׁוּמָּן,hebrew,
xunat,,impair,,shunhai,损害,chinese,
xubor,,shatter,,lixb(o)R,לִשְׁבּוֹר,hebrew,
xupiq,,horizontal,,shuǐpíng,水平,chinese,
xusak,,fling,,shuai,甩,chinese,
xufol,,shuffle,,,,,
xufun,,fix,,xiū fù,修复,chinese,
xuzik,,digital,,shù zì,数字,chinese,
xuxit,,familiar,,shú xī,熟悉,chinese,
xulof,,extract,,lixl(o)f,לִשְׁלוֹף,hebrew,
xulum,,belong,,shǔyū,属于,chinese,
cinap,,inept,,,,english,
cinur,,tensor,,,þinur,icelandic,
citar,,theater,,,,,
ciket,,equate,,,,english,
cikam,,rely,,ṯiqa,ثِقة,arabic,
cisal,,thistle,,,,english,
cilet,,elate,,,,english,
cefur,,stench,,,þefur,icelandic,
camil,,drunk,,ṯamil,ثَمِل,arabic,
cagan,,thug,,,,english,
cagaf,,culture (society),,ṯaɡāfa,ثقافة,arabic,
cagur,,naughty,,,óþægur,icelandic,
catik,,apathy,,,,english,
catun,,atone,,,,english,
cakal,,heckle,,,,english,
casal,,assail,,,,english,
caval,,avow,,,,english,
caram,,revolution (society),,ṯawra,ثَوْرَة,arabic,
caraq,,plenty,,ṯarwa,ثَرْوَة,arabic,
caraz,,arise,,,,english,
cotaq,,rush,,,þjóta,icelandic,
covit,,overheat,,,,english,
corat,,revolution,,thaorah,ثًوْرَة,arabic,
Camim,,obnoxious,,ḏamīm,ذَمِيم,arabic,
Cakar,,mention,,ḏakara,ذَكَرَ,arabic,
Calil,,dispicable,,ḏalīl,ذَلِيل,arabic,
yinan,,murky,,yinan,阴暗,chinese,
yinoq,,application,,yìng yòng,应用,chinese,
yiqaq,,nutritious,,yíng yǎng,营养,chinese,
yituk,,intent,,yì tú,意图,chinese,
yitur,,chord,,yeter,יֶתֶר,hebrew,
yikal,,depend,,yī kào,依靠,chinese,
yisud,,founding,,yisud,יִיסּוּד,hebrew,
yixik,,faintly,,yixi,依稀,chinese,
yixiv,,session,,yeshiva,יְשִׁיבָה,hebrew,
yixeq,,doctor,,yī shēng,医生,chinese,
yiliq,,collar,,yī lǐng,衣领,chinese,
yilal,,treat (patient),,yīliáo,医疗,chinese,
yeduq,,peruse,,yuèdú,阅读,chinese,
yeter,,hypotenuse,,yeter,יתר,hebrew,
yesud,,praise,,yehuda,יְהוּדָה,hebrew,
yenux,,despair,,ye'ush,יֵיאוּשׁ,hebrew,
yild,,yield,,,,english,
yexin,,ambition,,yě xīn,野心,chinese,
yelip,,appointment,,yuē huì,约会,chinese,
yeluk,,amateur,,yè yú,业余,chinese,
yan,,vehicle,,yana,यान,sanskrit,
yanuk,,smog,,yān wù,烟雾,chinese,
yabiq,,import,,leyabe,לְייַבֵּא,hebrew,
yapad,,destination,,ya'ad,יַעַד,hebrew,
yatir,,obsolete,,leyat(e)R,לְייַתֵּר,hebrew,
yakid,,designate,,leyaH(e)d,לְייַחֵד,hebrew,
yakir,,darling,,yakira,יַקִּירָה,hebrew,
yakas,,sentiment,,yákhas,יַחַס,hebrew,
yasir,,arrogant,,yahir,יָהִיר,hebrew,
yaxas,,worthy,,yashas,यशस्,sanskrit,
yaxav,,sit,,yasháv,יָשַׁב,hebrew,
yacam,,kneel,,jaṯama,جَثَمَ,arabic,
yalid,,native,,yalid,יָלִיד,hebrew,
yalad,,yell,,,,,
yarit,,intercept,,leyaR(e)t,לְייָרֵט,hebrew,
yariv,,opponent,,yariv,יָרִיב,hebrew,
yarek,,thigh,,yarech,יָרֵךְ,hebrew,
yoqol,,retain,,yǒngyǒu,拥有,chinese,
sef,,continue,,yos(e)f,יוֹסֵף,hebrew,
yosaf,,increase,,yosef,יוֹסֵף,hebrew,
yovak,,consequence,,,,,
yoxan,,priority,,yōuxiān,优先,chinese,
yoxav,,inhabitant,,yoshév,יוֹשֵׁב,hebrew,
yolul,,hesitant,,youyu,犹豫,chinese,
yolur,,superior,,youyue,优越,chinese,
blet,,bait,,,,english,
yunit,,unit,,,,,
yunik,,unique,,,,english,
yunif,,unify,,,,,
yunat,,unite,,,,english,
yunoq,,wield,,yùn yòng,运用,chinese,
yudiq,,schedule,,yūdìng,预定,chinese,
yudoq,,sport,,yùndòng,运动,chineese,
yudum,,noxious,,yǒu dú,有毒,chinese,
yubik,,ubiquitous,,,,english,
yukan,,yucca,,,,english,
yujal,,usual,,,,english,
yuxaq,,bruise,,yū shāng,瘀伤,chinese,
yuciq,,youth,,,,english,
yucam,,heap,,juṯwa,جُثْوَة,arabic,
yuCap,,nag,,,juða,icelandic,
wimul,,whim,,,,english,
winim,,ween,,,,,
winaf,,wean,,,,,
winar,,win,,,,,
widor,,weed,,,,,
wipik,,weep,,,,,
wital,,whittle,,,,english,
wifan,,iff,,,,,
wizal,,weasel,,,,english,
wixek,,witty,,huī xié,诙谐,chinese,
wixak,,scarf,,wishah,وِشَاح,arabic,
wiCar,,wither,,,,english,
wilon,,willow,,,,english,
wenip,,plague,,wēn yì,瘟疫,chinese,
wenak,,wane,,,,english,
wegaq,,shimmer,,wēi guāng,微光,chinese,
wediq,,wed,,,,english,
wedal,,tang,,wèidào,味道,chinese,
webar,,weber (measurement),,,,english,
webol,,meager,,wēi bó,微薄,chinese,
wet,,wait,,,,english,
wekim,,wake,,,,,
wesar,,whistle,,,,english,
wefan,,diverge,,wéifǎn,违反,chinese,
wev,,wave,,,,,
wevac,,waive,,,,english,
wevar,,waver,,,,,
wexin,,prestige,,wēi xìn,威信,chinese,
weCar,,weather,,,,english,
weliq,,wail,,,,,
welig,,weigh,,,,,
welek,,shoddy,,wěi liè,伪劣,chinese,
weraq,,wary,,,,,
werak,,wear,,,,,
wanan,,meander,,wanyan,蜿蜒,chinese,
wanak,,whine,,,,,
wanal,,stoop,,wanyao,弯腰,chinese,
waqun,,dusk,,huáng hūn,黄昏,chinese,
wagin,,wag,,,,,
wadin,,valley,,wādin,وَادٍ,arabic,
wadal,,waddle,,,,,
wabol,,wobble,,,,,
wapaz,,wipe,,,,,
wakar,,revere,,waqqara,وَقَّرَ,arabic,
wasaf,,depict,,wasafa,وَصَفَ,arabic,
wazim,,sock (foot),,wà zi,袜子,chinese,
waxin,,sardine,,iwashi,いわし,japanese,
walin,,flamboyant,,huá lì,华丽,chinese,
walid,,bring forth,,wallidī,وَلِّدِي,arabic,
walik,,opulent,,huá lì,华丽,chinese,
walet,,wallet,,,,english,
walan,,wall,,,,,
zatik,,exotic,,,,english,
waloq,,wallow,,,,,
wariq,,whir,,,,,
wonuk,,snail,,woniu,蜗牛,chinese,
wokuf,,familiarity,,woqôf,وُقُوفٌ,arabic,
wolik,,vigor,,huó lì,活力,chinese,
wolak,,sparkle,,huǒ huā,火花,chinese,
wun,,woo,,,,,
wugan,,extraneous,,wú guān,无关,chinese,
wuzim,,ignorant,,wuzhi,无知,chinese,
wuxik,,pragmatic,,wushi,务实,chinese,
lid,,lead,,,,,
lipar,,leap,,,,,
litam,,altruistic,,lì tā,利他,chinese,
litar,,liter (measurement),,,,english,
likan,,liken,,,,english,
lisiq,,lease,,,,,
lisem,,bread,,lechem,לֶחֶם,hebrew,
lisan,,discrete,,lí sàn,离散,chinese,
livik,,evict,,,,,
lived,,evade,,,,,
livet,,alleviate,,,,english,
lijur,,leisure,,,,,
lixik,,history,,lì shǐ,历史,chinese,
lixaq,,ideal,,lǐxiǎng,理想,chinese,
lilaq,,might,,lìliàng,,chinese,
liloq,,utilize,,lìyòng,利用,chinese,
lirin,,leer,,,,english,
lebor,,labor,,,,english,
lepor,,leporidae,,,,,
letar,,late,,,,english,
lesiq,,lace,,,,,
leson,,lesson,,,,english,
lamid,,tutor,,lelam(e)d,לְלַמֵּד,hebrew,
laman,,lamb,,,,english,
lum,,low,,,,english,
lanoq,,blush,,liǎn hóng,脸红,chinese,
lagar,,log,,,,,
ladin,,laud,,,,,
ladid,,delicious,,ladhîdh,لَذِيذ,arabic,
labin,,lobby,,,,english,
labot,,fan (action),,lelab(o)t,לְלַבּוֹת,hebrew,
latif,,entertain,,lateef,لَطِيفٌ,arabic,
latix,,polish,,lelat(e)x,לְלַטֵּשׁ,hebrew,
latas,,lattice,,,,english,
lataf,,caress,,lelat(e)f,לְלַטֵּף,hebrew,
latus,,lettuce,,,,,
lakok,,client,,lakoach,לָקוֹחַ,hebrew,
lasit,,hit (popular),,lahit,לָהִיט,hebrew,
lasak,,flock,,lahak,לַהַק,hebrew,
laft,,laugh,,,,,
lavan,,satellite,,lavyan,לַווְייָן,hebrew,
lav,,love,,,,english,
lazim,,due,,lāzim,لَازِمٌ,arabic,
lazan,,almond,,lawz,لَوْز,arabic,
lazup,,candle,,là zhú,蜡烛,chinese,
laCir,,lather,,,,,
laCad,,stack,,,hlaða,icelandic,
larot,,pregnant,,lahaR(o)t,לַהֲרוֹת,hebrew,
larus,,gull,,,,latin,
loban,,boss,,laoban,老板,chinese,
lotar,,loiter,,,,,
loket,,locate,,,,,
lokan,,open space,,loká,लोक,sanskrit,
loCig,,loathe,,,,,
Car,,other,,,,english,
loCud,,loath,,,,english,
lored,,already,,,,english,
lumet,,loom,,,,,
luman,,lumen (measurement),,,,english,
luqan,,lung,,,,,
lusul,,halogen,,lusu,卤素,chinese,
luzan,,lose,,,,,
luxiq,,popular,,liúxíng,流行,chinese,
lulek,,reed (plant),,lúwěi,芦苇,chinese,
luran,,lure,,,,,
rimen,,remain,,,,english,
rimot,,remote (distance),,,,english,
rimuv,,remove,,,,english,
rineg,,renege,,,,,
rinos,,rhinoceros,,,,english,
rinul,,renew,,,,,
riqoq,,artificial,,rengong,人工,chinese,
rigiv,,clod of earth,,regev,רֶגֶב,hebrew,
rigal,,wriggle,,,,,
ridim,,redeem,,,,,
ridaq,,rid,,,,,
ridol,,riddle,,,,english,
ridun,,redo,,,,,
ribit,,interest (banking),,ribit,רִיבִּית,hebrew,
ribac,,intermediate,,,,,
ribar,,rebar,,,,english,
ribon,,rule (control),,ribon,רִיבּוֹן,hebrew,
ripas,,fault,,répas,रेपस्,sanskrit,
ripol,,ripple,,,,,
riput,,repute,,,,english,
ritut,,vibration,,ritut,רִיטּוּט,hebrew,
rikap,,recap,,,,,
rikar,,require,,,,english,
rikol,,recoil,,,,english,
